AGS,Kreis,Kreis_WP,KreisSitz,KreisSitz_WP,Einwohner,Fläche,Karte
03358,Heidekreis,/wiki/Landkreis_Heidekreis,Bad Fallingbostel,/wiki/Bad_Fallingbostel,140673,1873.72,//upload.wikimedia.org/wikipedia/commons/thumb/8/84/Lower_Saxony_HK.svg/71px-Lower_Saxony_HK.svg.png
08135,Heidenheim,/wiki/Landkreis_Heidenheim,Heidenheim an der Brenz,/wiki/Heidenheim_an_der_Brenz,132777,627.14,//upload.wikimedia.org/wikipedia/commons/thumb/8/8e/Baden-W%C3%BCrttemberg_HDH.svg/55px-Baden-W%C3%BCrttemberg_HDH.svg.png
08125,Heilbronn,/wiki/Landkreis_Heilbronn,Heilbronn,/wiki/Heilbronn,344456,1099.9,//upload.wikimedia.org/wikipedia/commons/thumb/2/28/Baden-W%C3%BCrttemberg_HN_%28district%29.svg/55px-Baden-W%C3%BCrttemberg_HN_%28district%29.svg.png
05370,Heinsberg,/wiki/Kreis_Heinsberg,Heinsberg,/wiki/Heinsberg,255555,627.99,//upload.wikimedia.org/wikipedia/commons/thumb/0/0f/North_rhine_w_HS.svg/60px-North_rhine_w_HS.svg.png
03154,Helmstedt,/wiki/Landkreis_Helmstedt,Helmstedt,/wiki/Helmstedt,91297,674.02,//upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Lower_Saxony_HE.svg/71px-Lower_Saxony_HE.svg.png
05758,Herford,/wiki/Kreis_Herford,Herford,/wiki/Herford,250578,450.41,//upload.wikimedia.org/wikipedia/commons/thumb/1/17/North_rhine_w_HF.svg/60px-North_rhine_w_HF.svg.png
06632,Hersfeld-Rotenburg,/wiki/Landkreis_Hersfeld-Rotenburg,Bad Hersfeld,/wiki/Bad_Hersfeld,120719,1097.12,//upload.wikimedia.org/wikipedia/commons/thumb/6/67/Hesse_HEF.svg/45px-Hesse_HEF.svg.png
01053,Herzogtum Lauenburg,/wiki/Kreis_Herzogtum_Lauenburg,Ratzeburg,/wiki/Ratzeburg,198019,1263.01,//upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Schleswig-Holstein_RZ.svg/75px-Schleswig-Holstein_RZ.svg.png
16069,Hildburghausen,/wiki/Landkreis_Hildburghausen,Hildburghausen,/wiki/Hildburghausen,63197,938.42,//upload.wikimedia.org/wikipedia/commons/thumb/5/50/Thuringia_HBN.svg/77px-Thuringia_HBN.svg.png
03254,Hildesheim,/wiki/Landkreis_Hildesheim,Hildesheim,/wiki/Hildesheim,275817,1206.03,//upload.wikimedia.org/wikipedia/commons/thumb/1/16/Lower_Saxony_HI.svg/71px-Lower_Saxony_HI.svg.png
05958,Hochsauerlandkreis,/wiki/Hochsauerlandkreis,Meschede,/wiki/Meschede,259777,1960.17,//upload.wikimedia.org/wikipedia/commons/thumb/3/3e/North_rhine_w_HSK.svg/60px-North_rhine_w_HSK.svg.png
06434,Hochtaunuskreis,/wiki/Hochtaunuskreis,Bad Homburg vor der Höhe,/wiki/Bad_Homburg_vor_der_H%C3%B6he,236914,482.02,//upload.wikimedia.org/wikipedia/commons/thumb/f/f2/Hesse_HG.svg/45px-Hesse_HG.svg.png
09475,Hof,/wiki/Landkreis_Hof,Hof,/wiki/Hof_(Saale),94801,892.52,//upload.wikimedia.org/wikipedia/commons/thumb/0/03/Bavaria_HO_%28district%29.svg/60px-Bavaria_HO_%28district%29.svg.png
